listing_id,name,neighborhood,current_price,recommended_price,price_change,pct_change,accommodates,bedrooms,number_of_reviews
1215224488371019100,"Sunny, spacious , excellent location",Williamsburg,125.0,173.41,48.41,38.73,3,1.0,6
997986353932503170,New Apartment in the heart of Upper East Side,Upper East Side,429.0,436.57,7.57,1.76,5,2.0,43
1029145949717644011,Penthouse Waterfront Studio with Top Skyline Views,Williamsburg,185.0,224.81,39.81,21.52,2,1.0,7
42389365,"Amazing location in Williasmburg, fully equipped",Williamsburg,110.0,165.05,55.05,50.05,2,1.0,37
4387152,Petit chalet with secret garden,Williamsburg,122.0,175.68,53.68,44.0,2,0.0,159
1418262020426368596,Cozy Moroccan Vibes  -3BR 2BA- Groups 15 Min City,Astoria,427.0,507.04,80.04,18.74,12,3.0,9
1024046024450319524,The Max • Vibe 8731,Upper East Side,152.0,151.54,-0.46,-0.3,2,0.0,10
51702923,Award-winning Spacious Townhouse in Williamsburg,Williamsburg,732.0,466.21,-265.79,-36.31,6,3.0,5
733643513468176349,Artist's sunny townhouse,Williamsburg,420.0,357.67,-62.33,-14.84,6,3.0,8
21897846,Luxury apt in the heart of Williamsburg,Williamsburg,399.0,361.99,-37.01,-9.27,4,2.0,16
48942624,★ NEWLY RENOVATED STUDIO IN PRIME LOCATION - UES ★,Upper East Side,174.0,170.51,-3.49,-2.0,3,0.0,24
23054855,Modern sunny 1 bed oasis - Graham Ave L train,Williamsburg,165.0,222.23,57.23,34.68,2,1.0,54
23432542,Quiet 1 BR + WFH Retreat E 62nd St. Close to Park,Upper East Side,191.0,204.21,13.21,6.92,2,1.0,12
4880542,Stunning Outdoor Space & Garden in Williamsburg,Williamsburg,324.0,285.03,-38.97,-12.03,3,1.0,42
12037401,165 East 89-Studio Upper East Side,Upper East Side,120.0,123.35,3.35,2.79,2,0.0,17
45091742,Modern 4700 SF house in heart of Williamsburg,Williamsburg,1000.0,516.3,-483.7,-48.37,5,3.0,109
48674402,1 Bedroom Luxury Waterfront Williamsburg Apt,Williamsburg,250.0,205.16,-44.84,-17.93,2,1.0,25
19118963,BRIGHT CHARMING STUDIO ON UPPER EAST SIDE,Upper East Side,146.0,197.98,51.98,35.6,3,0.0,32
3760029,Charming studio for rent in Astoria,Astoria,150.0,195.83,45.83,30.55,2,1.0,165
